,eliminado,mae,model,paredao,pred,pred_pct,rejeicao,repeticao,mean_absolute_error,correct
1228,bianca_andrade,0.16595014883864728,ridge,5.0,felipe_prior,0.4276229574131538,0.5309,6.0,0.10327704258684622,False
1229,guilherme,0.11731570987392,ridge,6.0,guilherme,0.5069708958533296,0.5607,6.0,0.053729104146670426,True
1230,victor_hugo,0.3427288189755208,ridge,7.0,victor_hugo,0.2843606135546132,0.8522,6.0,0.5678393864453868,True
1231,pyong,0.17241603162388697,ridge,8.0,pyong,0.5343564778400935,0.517,6.0,0.01735647784009353,True
1232,daniel,0.2653841238289774,ridge,9.0,daniel,0.5057864631076068,0.8081999999999999,6.0,0.30241353689239314,True
1233,felipe_prior,0.2633478743327227,ridge,10.0,felipe_prior,0.9182172558935803,0.5672999999999999,6.0,0.35091725589358036,True
1234,gabi,0.19552446587128744,ridge,11.0,gabi,0.3774918002766114,0.5961,6.0,0.21860819972338857,True
1235,marcela,0.1605890900245295,ridge,12.0,marcela,0.42217476692046735,0.4976,6.0,0.07542523307953264,True
1236,flayslene,0.2115479939277114,ridge,13.0,flayslene,0.45378117886116276,0.63,6.0,0.17621882113883724,True
1237,gizelly_bicalho,0.12845725573900776,ridge,14.0,babu,0.4465631332820217,0.5478999999999999,6.0,0.10133686671797826,False
1238,ivy,0.3094548271887327,ridge,15.0,rafa,0.4446973999904075,0.7417,6.0,0.2970026000095925,False
